Age,Income,Spending_Score,Engagement_Level,Purchase_Frequency,Product_Category,Customer_Segment,Met_Target
56,21920,73.68,3,7,Furniture,Low-Value,1
69,126121,50.1,9,20,Groceries,Low-Value,1
46,97219,57.28,5,43,Groceries,Low-Value,1
32,96872,13.72,5,6,Clothing,High-Value,1
60,101132,93.77,4,36,Beauty,Medium-Value,1
25,22093,35.19,9,21,Electronics,Medium-Value,0
38,32905,44.61,8,46,Clothing,Low-Value,1
56,141759,67.17,4,35,Clothing,Medium-Value,1
36,44351,33.39,4,36,Clothing,Medium-Value,0
40,50981,25.43,2,8,Clothing,Low-Value,0
28,93903,63.1,9,4,Beauty,High-Value,1
28,90821,2.5,3,43,Furniture,Low-Value,1
41,129200,72.07,4,16,Clothing,Low-Value,0
53,123241,51.4,7,3,Clothing,Low-Value,1
57,102289,60.58,8,7,Electronics,Low-Value,1
41,136506,63.19,8,2,Groceries,Medium-Value,1
20,104021,52.71,4,1,Beauty,Low-Value,1
39,98513,58.25,7,1,Clothing,High-Value,1
19,39874,68.38,1,38,Furniture,Low-Value,0
41,70931,75.31,6,7,Furniture,Medium-Value,1
61,27674,72.75,6,24,Furniture,Medium-Value,1
47,70516,86.96,6,5,Electronics,Medium-Value,0
55,141982,18.94,2,21,Furniture,Low-Value,1
19,148408,40.11,8,28,Electronics,High-Value,1
38,114574,94.78,5,18,Beauty,Medium-Value,1
50,80686,39.66,5,24,Furniture,Low-Value,1
29,114851,12.49,2,32,Groceries,Medium-Value,1
39,89212,52.54,4,45,Clothing,Medium-Value,1
61,22426,10.95,9,33,Beauty,High-Value,1
42,142952,20.29,9,10,Groceries,Low-Value,1
66,110009,99.83,6,9,Beauty,Low-Value,1
44,88498,54.14,9,49,Furniture,Low-Value,1
59,49943,28.41,4,33,Beauty,Low-Value,0
45,86395,99.48,1,33,Beauty,Medium-Value,1
33,64816,96.66,2,7,Beauty,Medium-Value,0
32,24138,44.07,1,4,Electronics,Low-Value,1
64,120728,26.04,8,28,Groceries,Low-Value,0
68,111176,83.84,9,23,Furniture,Low-Value,1
61,95945,71.56,6,32,Clothing,Medium-Value,1
69,24017,68.69,2,44,Furniture,High-Value,1
20,30451,89.31,6,16,Furniture,Low-Value,0
54,82956,68.94,9,46,Electronics,Low-Value,1
68,113863,28.38,3,10,Electronics,Medium-Value,0
24,30278,69.39,9,14,Beauty,High-Value,0
38,110480,30.58,2,39,Furniture,Medium-Value,0
26,63764,75.92,5,36,Groceries,Low-Value,0
56,143030,61.97,2,34,Electronics,Low-Value,1
35,21134,7.74,7,24,Electronics,Medium-Value,0
21,82943,51.28,9,18,Groceries,Medium-Value,1
42,115667,34.33,7,16,Electronics,Low-Value,0
31,74318,32.86,5,41,Groceries,Low-Value,0
67,123423,60.23,4,37,Clothing,Medium-Value,1
26,123998,32.23,4,41,Groceries,Low-Value,1
43,80128,77.69,8,25,Clothing,Medium-Value,1
19,108056,7.08,1,8,Beauty,Low-Value,1
37,41869,66.04,5,24,Beauty,Medium-Value,0
45,122468,80.92,2,20,Electronics,Low-Value,0
64,137034,67.28,9,48,Groceries,High-Value,1
24,25039,49.72,7,30,Electronics,Low-Value,1
61,41281,95.03,8,20,Groceries,Low-Value,1
25,132935,29.99,6,18,Electronics,High-Value,1
64,30442,1.92,9,4,Beauty,High-Value,1
52,93788,43.2,6,48,Beauty,Low-Value,1
31,139729,3.3,7,36,Electronics,High-Value,1
34,47586,95.39,7,6,Groceries,Low-Value,0
53,73053,20.99,9,3,Furniture,Medium-Value,0
67,70489,78.89,8,18,Groceries,Low-Value,1
57,103104,77.46,1,47,Electronics,Low-Value,1
21,106346,21.77,4,40,Groceries,Medium-Value,0
19,87087,62.12,7,18,Clothing,Medium-Value,1
23,32625,4.81,8,23,Groceries,Medium-Value,0
59,54397,48.36,7,35,Beauty,Medium-Value,0
21,78671,1.46,3,6,Beauty,High-Value,0
46,136214,92.11,4,26,Clothing,Low-Value,1
35,111785,97.61,7,21,Groceries,Low-Value,1
43,86897,22.23,8,24,Furniture,Medium-Value,0
61,46149,20.81,7,15,Groceries,Low-Value,1
51,80030,75.37,6,27,Beauty,Medium-Value,1
27,89906,25.34,9,32,Beauty,Medium-Value,0
53,25283,89.51,9,12,Electronics,Low-Value,1
31,27610,57.39,7,5,Beauty,High-Value,1
48,63326,35.08,8,7,Electronics,Low-Value,0
65,34924,83.27,6,22,Beauty,Low-Value,0
32,133143,49.34,1,27,Beauty,Low-Value,0
25,130253,91.16,1,15,Furniture,Low-Value,1
31,96162,92.8,6,39,Electronics,Low-Value,1
40,120297,16.54,2,45,Electronics,Medium-Value,0
57,20869,0.23,8,35,Beauty,Medium-Value,1
38,117088,98.39,1,26,Electronics,High-Value,1
33,21014,90.61,2,23,Beauty,Low-Value,1
